group,country_code,name,overall,confidence,source_url,source_name
A,MEX,Carlos Acevedo,74,medium,https://fifaindex.com/players/235183-carlos-acevedo,FIFA Index
A,MEX,Guillermo Ochoa,74,medium,https://fifaindex.com/players/140233-guillermo-ochoa,FIFA Index
A,MEX,Israel Reyes,75,medium,https://fifaindex.com/player/252008/israel-reyes/,FIFA Index
A,MEX,Julián Quiñones,80,high,https://www.ea.com/games/ea-sports-fc/ratings?gender=0,EA Sports FC official ratings
A,MEX,Orbelín Pineda,77,high,https://www.ea.com/games/ea-sports-fc/ratings?gender=0,EA Sports FC official ratings
A,MEX,Obed Vargas,69,high,https://www.ea.com/games/ea-sports-fc/ratings?gender=0,EA Sports FC official ratings
A,MEX,Mateo Chávez,72,high,https://www.ea.com/games/ea-sports-fc/ratings?gender=0,EA Sports FC official ratings
A,MEX,César Huerta,73,high,https://www.ea.com/games/ea-sports-fc/ratings?gender=0,EA Sports FC official ratings
A,MEX,Brian Gutiérrez,68,medium,https://www.ea.com/games/ea-sports-fc/ratings?gender=0,EA Sports FC official ratings
A,RSA,Lyle Foster,72,high,https://www.ea.com/games/ea-sports-fc/ratings?gender=0,EA Sports FC official ratings
A,RSA,Sphephelo Sithole,65,high,https://www.ea.com/games/ea-sports-fc/ratings?gender=0,EA Sports FC official ratings
A,RSA,Samukele Kabini,63,high,https://www.ea.com/games/ea-sports-fc/ratings?gender=0,EA Sports FC official ratings
A,RSA,Ime Okon,67,high,https://www.ea.com/games/ea-sports-fc/ratings?gender=0,EA Sports FC official ratings
A,RSA,Olwethu Makhanya,57,high,https://www.ea.com/games/ea-sports-fc/ratings?gender=0,EA Sports FC official ratings
B,BIH,Nikola Vasilj,77,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/nikola-vasilj/262956,EA SPORTS FC official ratings
B,BIH,Sead Kolašinac,79,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/sead-kolasinac/207993,EA SPORTS FC official ratings
B,BIH,Benjamin Tahirović,67,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/benjamin-tahirovic/272596,EA SPORTS FC official ratings
B,BIH,Amar Dedić,73,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/amar-dedic/257345,EA SPORTS FC official ratings
B,BIH,Armin Gigović,72,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/armin-gigovic/251617,EA SPORTS FC official ratings
B,BIH,Ermedin Demirović,80,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/ermedin-demirovic/238900,EA SPORTS FC official ratings
B,BIH,Edin Džeko,81,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/edin-dzeko/180930,EA SPORTS FC official ratings
B,BIH,Amir Hadžiahmetović,73,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/amir-hadziahmetovic/233053,EA SPORTS FC official ratings
B,BIH,Dženis Burnić,68,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/dzenis-burnic/228082,EA SPORTS FC official ratings
B,BIH,Nikola Katić,69,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/nikola-katic/244204,EA SPORTS FC official ratings
B,BIH,Esmir Bajraktarević,67,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/esmir-bajraktarevic/269823,EA SPORTS FC official ratings
B,BIH,Haris Tabaković,73,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/haris-tabakovic/212002,EA SPORTS FC official ratings
B,CAN,Maxime Crépeau,69,high,https://www.ea.com/en/games/ea-sports-fc/ratings/player-ratings/maxime-crepeau/213536,EA SPORTS FC official ratings
